Timestamp,Вы из этого населенного пункта? (указываем название нас пункта),"Скажите, пожалуйста, какой у Вас возраст",Укажите пол,Пойдёте ли на президентские выборы?,Будете голосовать досрочно?,За кого планируете голосовать/проголосовали?,Ваш уровень образования?,"Сообщите, пожалуйста, совокупный месячный доход Вашей семьи в бел.руб.",Какими инструментами коммуникации Вы пользуетесь?,Код волонтёра ,Произвольный комментарий волонтера,тип нп,регион
8/1/2020 17:36:35,Глуск,18-30,Жен,Да,,Затрудняюсь ответить,Среднее специальное,1000 - 2000,,4,Замужем,город,6
8/1/2020 17:37:41,Славковичи,41-50,Жен,Да,,Лукашенко,Базовое \ Среднее,До 500,,4,Многодетная мать,село,6
8/1/2020 17:38:17,Славковичи ,51-60,Муж,Да,,Лукашенко,Базовое \ Среднее,До 500,,4,Многодетная отец,село,6
8/1/2020 17:38:57,Глуск,18-30,Муж,Да,,Тихановская,Высшее,1000 - 2000,,4,Молодая семья,город,6
8/1/2020 17:48:56,Славковичи,18-30,Жен,Да,,Лукашенко,Высшее,До 500,,4,Учитель физкультуры,село,6
8/1/2020 18:17:12,Славковичи,51-60,Жен,Да,,Лукашенко,Базовое \ Среднее,500 - 1000,,4,Многодетная мать,село,6
8/1/2020 20:07:40,Минск,старше 60,Жен,Да,,Тихановская,Высшее,1000 - 2000,,,,город,7
8/1/2020 20:11:00,Лесной ,41-50,Жен,Да,,Тихановская,Высшее,выше 2000,,48,,город,5
8/1/2020 20:13:52,Лесной,старше 60,Жен,Да,,Тихановская,Среднее специальное,До 500,,48,,город,5
8/1/2020 20:16:55,Лесной ,31-40,Муж,Да,,Тихановская,Высшее,выше 2000,,48,,город,5
8/1/2020 20:38:41,Лесной,18-30,Жен,Да,,Тихановская,Среднее специальное,500 - 1000,,48,,город,5
8/1/2020 20:46:13,Лесной ,41-50,Муж,Да,,Против всех,Высшее,выше 2000,,48,,город,5
8/1/2020 20:53:37,Лесной ,31-40,Жен,Да,,Тихановская,Высшее,Не хочу отвечать на этот вопрос,,48,,город,5
8/1/2020 20:58:28,Лесной ,41-50,Муж,Да,,Тихановская,Высшее,Не хочу отвечать на этот вопрос,,48,,город,5
8/1/2020 21:05:03,Лесной,старше 60,Жен,Да,,Лукашенко,Среднее специальное,Не хочу отвечать на этот вопрос,,48,,город,5
8/2/2020 0:02:13,Заелица,18-30,Муж,Да,,Затрудняюсь ответить,Профессионально-техническое,1000 - 2000,,4,Молодая семья ,село,6
8/2/2020 0:03:18,Заелица,18-30,Жен,Да,,Тихановская,Профессионально-техническое,До 500,,4,Молодая семья,село,6
8/2/2020 9:55:54,Узда,51-60,Жен,Да,,Против всех,Среднее специальное,500 - 1000,,,,город,5
8/2/2020 12:34:52,"д.Шумаки, Брестский район.",41-50,Жен,Да,,Тихановская,Базовое \ Среднее,500 - 1000,,29,Нет,село,1
8/2/2020 12:38:12,Брест,31-40,Муж,Да,,Тихановская,Среднее специальное,1000 - 2000,,,Нет,город,1
8/2/2020 12:49:40,Д. Батчи,41-50,Муж,Да,,Лукашенко,Профессионально-техническое,500 - 1000,,61,,село,1
8/2/2020 12:52:55,Д. Батчи,41-50,Жен,Да,,Лукашенко,Среднее специальное,500 - 1000,,61,,село,1
